Year,Solar PV,Solar CSP,Onshore wind,Offshore wind,Li Ion Battery packs
2002,545.24462306919,,120.4876296,118.52821702,
2003,470.022832795112,,107.1001152,109.252095688,
2004,444.566813035043,,112.2491592,137.080459684,
2005,440.198579562069,,105.0404976,106.160055244,
2006,465.333182374823,,106.0703064,109.252095688,1438.01188863757
2007,453.75488344618,,98.8616448,180.3690259,1247.74003706202
2008,441.421482467134,,88.5635568,137.080459684,1070.75649069166
2009,372.511308701502,,87.533748,158.724742792,937.972195656157
2010,380.563082999913,343.537329071021,89.471617,161.619331748249,940.753955435483
2011,289.260748427726,339.384335503002,83.463459,170.893898091419,777.999532102923
2012,217.462719221631,334.362024964993,81.739581,146.953775405951,644.472766052035
2013,168.116731941403,251.528569921746,78.674814,139.022771626654,583.823773896297
2014,154.294373132041,219.678629087062,71.420967,165.338298677298,514.583023678812
2015,117.306983631228,226.773170816669,63.345417,142.225825783548,376.373962459127
2016,103.829514647792,256.716536433919,60.051732,117.957245016198,296.614694688587
2017,83.4334633579717,217.960262683272,57.14757,113.546439170892,221.701768384985
2018,70.430686715099,153.449077225466,50.575432,110.528644740596,182.220631549302
2019,60.9348564612135,213.851800546328,45.132822,92.9696520955608,157.924547342729
2020,56.6686386761778,108,39.436859,84.4844876558956,136.665473661977
